age,gender,education,occupation,location,workHours,experience,salary
27,Female,B.Tech,Fullstack Developer,Kolkata,43,5,16.5
41,Male,MBA,Fullstack Developer,Noida,47,19,55.1
40,Female,MBA,Frontend Developer,Mumbai,47,18,44.3
31,Male,B.Tech,DevOps Engineer,Kolkata,35,9,27.6
31,Male,M.Tech,QA Engineer,Chennai,40,9,27
42,Female,PhD,Software Engineer,Pune,52,20,49.2
50,Male,B.Sc IT,Product Manager,Bengaluru,37,28,70
36,Female,MBA,Product Manager,Gurugram,41,14,42.3
30,Female,B.Sc IT,Backend Developer,Kolkata,45,8,20
40,Male,M.Tech,Product Manager,Pune,40,18,53.7
44,Female,B.E,Software Engineer,Chennai,53,22,60.7
34,Male,B.Sc IT,Engineering Manager,Gurugram,47,12,48.5
42,Male,BCA,Data Scientist,Noida,41,20,68
22,Male,B.Sc IT,Backend Developer,Pune,51,0,4.4
44,Female,B.Sc IT,QA Engineer,Noida,42,22,56.5
24,Female,B.E,Data Scientist,Gurugram,52,2,16.2
47,Male,M.Tech,DevOps Engineer,Noida,53,25,64.8
25,Female,M.Tech,Cloud Architect,Bengaluru,49,3,31.1
47,Male,BCA,Security Engineer,Pune,48,25,69.2
39,Male,B.Sc IT,Product Manager,Pune,47,17,44.5
31,Female,B.Tech,Product Manager,Noida,50,9,25.2
43,Female,PhD,Security Engineer,Hyderabad,37,21,66.9
41,Male,M.Tech,Product Manager,Chennai,47,19,60
47,Female,B.Tech,Security Engineer,Kolkata,50,25,76.3
32,Male,MCA,Software Engineer,Kolkata,35,10,30.1
40,Female,BCA,Engineering Manager,Noida,52,18,66
33,Male,B.E,QA Engineer,Mumbai,35,11,31.8
49,Male,MCA,Software Engineer,Bengaluru,51,27,80.2
49,Male,PhD,Engineering Manager,Chennai,47,27,88.9
37,Male,B.Sc IT,Software Engineer,Gurugram,44,15,42
23,Female,PhD,QA Engineer,Hyderabad,51,1,13.5
23,Female,PhD,Cloud Architect,Noida,43,1,25.7
39,Female,MCA,QA Engineer,Kolkata,41,17,36.7
22,Female,B.Sc IT,Security Engineer,Pune,51,0,10.4
27,Female,B.Sc IT,Fullstack Developer,Pune,47,5,14.4
27,Male,MBA,Frontend Developer,Kolkata,54,5,19.9
34,Female,PhD,Cloud Architect,Chennai,52,12,54.5
31,Female,B.Sc IT,Security Engineer,Mumbai,39,9,31.6
29,Female,BCA,Security Engineer,Hyderabad,47,7,33
50,Male,MBA,Frontend Developer,Noida,43,28,71.8
30,Female,M.Tech,Software Engineer,Hyderabad,39,8,25.5
44,Female,PhD,QA Engineer,Hyderabad,43,22,66.5
44,Male,M.Tech,Engineering Manager,Noida,43,22,66.9
32,Male,MCA,Product Manager,Pune,47,10,25.9
48,Male,MCA,Frontend Developer,Chennai,49,26,65.1
34,Female,M.Tech,Backend Developer,Hyderabad,37,12,36.5
21,Female,B.Sc IT,Engineering Manager,Chennai,40,0,15
26,Male,MCA,Security Engineer,Gurugram,45,4,21.5
36,Female,MBA,Cloud Architect,Mumbai,43,14,56.5
25,Female,BCA,Fullstack Developer,Mumbai,36,3,16
47,Female,B.Sc IT,Security Engineer,Bengaluru,47,25,62.9
43,Male,MCA,Data Scientist,Pune,54,21,64.5
33,Male,B.Sc IT,Cloud Architect,Gurugram,45,11,45.1
44,Female,MBA,Product Manager,Hyderabad,54,22,55.1
50,Female,BCA,Cloud Architect,Noida,38,28,80.8
45,Male,PhD,Cloud Architect,Mumbai,42,23,97.7
41,Female,B.Tech,Software Engineer,Kolkata,36,19,47.1
35,Male,BCA,Frontend Developer,Chennai,45,13,40.6
34,Male,BCA,Engineering Manager,Gurugram,36,12,44.8
28,Male,MBA,Fullstack Developer,Chennai,46,6,24
38,Female,MBA,Software Engineer,Chennai,44,16,43.9
47,Male,PhD,Fullstack Developer,Mumbai,45,25,70.6
26,Male,B.Sc IT,Backend Developer,Gurugram,45,4,14.2
48,Female,B.E,DevOps Engineer,Gurugram,49,26,60
41,Male,MCA,DevOps Engineer,Gurugram,54,19,45.5
35,Female,BCA,Product Manager,Bengaluru,46,13,38.7
28,Male,B.Sc IT,Backend Developer,Gurugram,42,6,17.2
37,Male,MCA,Backend Developer,Kolkata,54,15,36.8
28,Male,M.Tech,Cloud Architect,Chennai,41,6,38.4
45,Male,B.E,Software Engineer,Pune,46,23,61.4
28,Male,B.Sc IT,Fullstack Developer,Noida,37,6,18.4
30,Female,M.Tech,Data Scientist,Hyderabad,53,8,32.6
45,Female,PhD,Cloud Architect,Gurugram,52,23,74.8
33,Male,B.E,Frontend Developer,Kolkata,51,11,27.7
46,Female,B.Tech,Product Manager,Mumbai,39,24,59.4
36,Female,BCA,QA Engineer,Kolkata,46,14,39.8
23,Male,B.Sc IT,Frontend Developer,Noida,53,1,5.5
34,Male,B.Tech,Frontend Developer,Bengaluru,49,12,36.3
24,Male,B.Tech,Product Manager,Gurugram,39,2,8.9
30,Male,B.Sc IT,Software Engineer,Pune,45,8,23.2
23,Female,PhD,Software Engineer,Noida,54,1,10.4
37,Male,BCA,Fullstack Developer,Kolkata,37,15,41.8
30,Male,B.E,Backend Developer,Pune,37,8,24.2
38,Female,MCA,Fullstack Developer,Chennai,41,16,45.1
33,Male,B.E,Cloud Architect,Mumbai,35,11,44.4
42,Female,MCA,Cloud Architect,Hyderabad,46,20,62.8
25,Male,MCA,Data Scientist,Mumbai,42,3,24.8
40,Male,MBA,Software Engineer,Pune,38,18,50.5
25,Male,MCA,Backend Developer,Mumbai,49,3,13.3
32,Female,BCA,Data Scientist,Noida,43,10,28.9
32,Male,B.Tech,Security Engineer,Bengaluru,42,10,37.6
22,Female,MCA,DevOps Engineer,Bengaluru,52,0,8.3
43,Male,B.Sc IT,QA Engineer,Noida,45,21,53
25,Male,BCA,Product Manager,Noida,53,3,13.1
45,Male,MBA,Product Manager,Noida,47,23,58.1
21,Female,MBA,Data Scientist,Mumbai,40,0,17
25,Male,M.Tech,Cloud Architect,Noida,35,3,27.4
47,Male,M.Tech,DevOps Engineer,Gurugram,53,25,68.2
23,Male,PhD,Backend Developer,Pune,53,1,13.4
28,Male,B.Sc IT,Data Scientist,Chennai,51,6,30
46,Male,B.Tech,Security Engineer,Pune,48,24,81.4
23,Male,M.Tech,Frontend Developer,Kolkata,46,1,9.1
32,Female,BCA,Data Scientist,Noida,38,10,30.7
41,Male,BCA,Data Scientist,Bengaluru,54,19,60.6
26,Male,M.Tech,Engineering Manager,Hyderabad,38,4,33.6
50,Female,B.Sc IT,Backend Developer,Gurugram,41,28,66.1
47,Female,MBA,Software Engineer,Chennai,39,25,68.7
26,Male,MBA,Backend Developer,Chennai,40,4,17.8
42,Female,B.Sc IT,Security Engineer,Chennai,45,20,50.4
21,Female,BCA,QA Engineer,Mumbai,39,0,7.2
29,Female,B.Tech,Fullstack Developer,Hyderabad,41,7,26.1
34,Male,B.E,Security Engineer,Kolkata,42,12,46.7
37,Female,MCA,Backend Developer,Noida,37,15,38.9
42,Male,M.Tech,Software Engineer,Bengaluru,53,20,60.1
23,Male,M.Tech,Backend Developer,Bengaluru,41,1,13.6
27,Male,M.Tech,Backend Developer,Hyderabad,39,5,27
30,Female,B.E,Cloud Architect,Noida,47,8,40.2
48,Female,BCA,Frontend Developer,Gurugram,42,26,70.7
27,Female,BCA,Engineering Manager,Mumbai,53,5,31.3
50,Male,PhD,Frontend Developer,Pune,46,28,93.1
31,Female,B.E,Backend Developer,Noida,47,9,23.1
25,Female,MBA,DevOps Engineer,Bengaluru,45,3,14.5
40,Female,B.Tech,Product Manager,Gurugram,51,18,39.6
21,Female,BCA,DevOps Engineer,Pune,39,0,4
30,Male,BCA,QA Engineer,Pune,45,8,26.5
41,Female,B.Tech,QA Engineer,Pune,44,19,52.5
43,Male,B.E,Engineering Manager,Hyderabad,45,21,71
35,Male,B.E,Engineering Manager,Mumbai,40,13,58.2
43,Male,BCA,Backend Developer,Hyderabad,45,21,52.3
21,Male,M.Tech,Engineering Manager,Chennai,37,0,23.1
35,Male,MCA,Backend Developer,Kolkata,38,13,37.9
23,Male,PhD,QA Engineer,Kolkata,45,1,13.6
48,Male,B.Sc IT,Frontend Developer,Kolkata,35,26,72.2
48,Male,BCA,Software Engineer,Mumbai,44,26,74.7
22,Male,B.Sc IT,Cloud Architect,Gurugram,42,0,19.4
32,Male,BCA,QA Engineer,Kolkata,37,10,28.6
47,Female,PhD,Fullstack Developer,Mumbai,47,25,68.4
21,Female,MCA,Fullstack Developer,Hyderabad,47,0,7.5
43,Male,MCA,Cloud Architect,Hyderabad,38,21,66.3
28,Male,MCA,Data Scientist,Pune,44,6,28.9
41,Male,PhD,Engineering Manager,Hyderabad,52,19,67.6
25,Female,BCA,Software Engineer,Kolkata,45,3,9.2
21,Male,B.E,Data Scientist,Kolkata,53,0,10.7
28,Male,B.E,Cloud Architect,Pune,43,6,29.3
21,Male,M.Tech,Engineering Manager,Pune,47,0,24
36,Male,BCA,Engineering Manager,Kolkata,54,14,61.3
44,Male,B.Tech,Software Engineer,Gurugram,52,22,55.1
22,Male,MBA,QA Engineer,Gurugram,38,0,6.9
33,Male,MBA,Fullstack Developer,Noida,42,11,31.8
43,Male,B.Tech,Cloud Architect,Noida,42,21,80.1
34,Female,PhD,Software Engineer,Mumbai,36,12,38.6
35,Female,MBA,Backend Developer,Mumbai,44,13,40.2
50,Female,MCA,QA Engineer,Noida,38,28,67
43,Male,B.Tech,Backend Developer,Hyderabad,36,21,57.6
42,Female,MCA,Frontend Developer,Noida,40,20,47.8
31,Female,MCA,QA Engineer,Bengaluru,43,9,28.8
22,Male,M.Tech,Engineering Manager,Kolkata,40,0,23
33,Female,M.Tech,Security Engineer,Chennai,44,11,38.3
32,Female,B.E,Fullstack Developer,Gurugram,54,10,27.5
22,Male,PhD,Security Engineer,Kolkata,43,0,16.2
26,Male,M.Tech,Cloud Architect,Gurugram,43,4,35.2
36,Female,PhD,Frontend Developer,Gurugram,41,14,36.4
44,Male,MCA,DevOps Engineer,Gurugram,52,22,51.9
39,Female,B.Tech,Frontend Developer,Kolkata,52,17,44.6
43,Male,M.Tech,Frontend Developer,Chennai,40,21,61.8
24,Female,B.E,Product Manager,Mumbai,38,2,11.1
40,Male,B.Sc IT,Security Engineer,Chennai,39,18,64.6
34,Female,B.E,DevOps Engineer,Chennai,44,12,28.9
40,Male,MBA,Product Manager,Pune,42,18,53.4
44,Male,B.Tech,Cloud Architect,Hyderabad,47,22,69.1
24,Male,MCA,Security Engineer,Hyderabad,43,2,19.2
28,Male,BCA,Data Scientist,Noida,54,6,29.5
39,Male,B.Tech,Fullstack Developer,Kolkata,43,17,45.2
29,Male,BCA,Cloud Architect,Kolkata,38,7,41
30,Female,MCA,Product Manager,Bengaluru,53,8,25.7
27,Male,BCA,Frontend Developer,Pune,48,5,15.7
46,Female,B.Sc IT,Product Manager,Noida,37,24,64
26,Male,M.Tech,Software Engineer,Pune,35,4,19.4
31,Male,MCA,Security Engineer,Noida,37,9,39.3
39,Male,B.Tech,Software Engineer,Pune,48,17,40.9
28,Female,PhD,DevOps Engineer,Hyderabad,42,6,26
48,Female,BCA,DevOps Engineer,Bengaluru,52,26,66.1
35,Male,B.E,Fullstack Developer,Chennai,54,13,33.9
24,Male,B.Tech,Data Scientist,Noida,36,2,15.2
41,Female,PhD,DevOps Engineer,Bengaluru,40,19,52.8
35,Female,B.Tech,Frontend Developer,Mumbai,53,13,37.9
41,Female,B.Tech,Data Scientist,Chennai,37,19,52.9
32,Male,B.Tech,Data Scientist,Kolkata,39,10,33.2
23,Female,M.Tech,Fullstack Developer,Hyderabad,51,1,12.5
32,Female,M.Tech,Fullstack Developer,Gurugram,50,10,33.1
27,Female,B.E,QA Engineer,Noida,39,5,13.6
23,Female,B.Tech,Backend Developer,Gurugram,52,1,5.8
29,Male,B.Tech,Frontend Developer,Noida,35,7,23.4
31,Female,MCA,Data Scientist,Chennai,35,9,28.7
48,Male,B.E,DevOps Engineer,Mumbai,44,26,67.3
43,Male,PhD,Software Engineer,Hyderabad,49,21,77.5
24,Male,B.Tech,Data Scientist,Pune,39,2,17.5
24,Male,B.Tech,DevOps Engineer,Kolkata,36,2,9
27,Male,B.Sc IT,Fullstack Developer,Chennai,50,5,16.7
34,Male,BCA,Engineering Manager,Mumbai,48,12,49
25,Male,MCA,QA Engineer,Bengaluru,47,3,14.7
34,Male,M.Tech,DevOps Engineer,Kolkata,48,12,41.2
22,Female,PhD,Product Manager,Bengaluru,46,0,15.1
48,Female,BCA,Data Scientist,Pune,38,26,61.8
22,Male,MCA,Backend Developer,Kolkata,39,0,4
49,Male,BCA,Software Engineer,Chennai,54,27,68.7
22,Male,M.Tech,Fullstack Developer,Mumbai,40,0,10.6
25,Male,MBA,Cloud Architect,Kolkata,52,3,28.4
41,Male,M.Tech,QA Engineer,Bengaluru,50,19,59.7
46,Male,PhD,Engineering Manager,Pune,39,24,98.6
38,Male,PhD,Fullstack Developer,Chennai,42,16,50
42,Male,MBA,Data Scientist,Pune,39,20,66.7
38,Male,M.Tech,DevOps Engineer,Chennai,48,16,45.1
44,Female,MBA,Frontend Developer,Gurugram,54,22,54.2
47,Male,M.Tech,Frontend Developer,Mumbai,36,25,63.3
44,Male,M.Tech,Security Engineer,Noida,41,22,61.3
39,Female,B.Tech,Product Manager,Chennai,41,17,43
50,Male,B.Tech,Backend Developer,Pune,43,28,64.7
40,Male,B.Sc IT,Engineering Manager,Mumbai,42,18,76.6
44,Male,BCA,Fullstack Developer,Pune,51,22,61.3
44,Male,MCA,Fullstack Developer,Pune,40,22,64.7
45,Male,PhD,Product Manager,Chennai,44,23,76.3
50,Female,B.E,Engineering Manager,Gurugram,47,28,89.4
30,Male,B.E,Product Manager,Bengaluru,54,8,31.3
21,Female,B.Sc IT,Software Engineer,Chennai,40,0,3.4
21,Male,BCA,Engineering Manager,Chennai,40,0,21.6
48,Female,MBA,Cloud Architect,Gurugram,40,26,78.7
44,Male,MBA,Security Engineer,Chennai,49,22,65.6
30,Male,B.E,Product Manager,Gurugram,37,8,27.3
43,Male,M.Tech,Product Manager,Gurugram,44,21,68.4
21,Female,B.Tech,Software Engineer,Kolkata,37,0,3.9
44,Male,M.Tech,Backend Developer,Noida,54,22,64.8
38,Female,B.Tech,Frontend Developer,Chennai,49,16,42.8
48,Female,MCA,Data Scientist,Hyderabad,45,26,79.8
37,Male,MCA,DevOps Engineer,Chennai,35,15,39.4
50,Female,B.E,Product Manager,Bengaluru,43,28,77.1
48,Male,B.E,Backend Developer,Gurugram,48,26,61.7
34,Female,BCA,Security Engineer,Kolkata,50,12,32.3
42,Female,B.Sc IT,Data Scientist,Bengaluru,49,20,57.9
50,Male,PhD,Software Engineer,Bengaluru,49,28,93.3
41,Female,B.Sc IT,Backend Developer,Bengaluru,44,19,57.4
38,Male,BCA,QA Engineer,Noida,41,16,47.3
27,Male,M.Tech,Engineering Manager,Mumbai,45,5,42.2
24,Female,BCA,Fullstack Developer,Mumbai,37,2,11.1
30,Male,MBA,QA Engineer,Chennai,48,8,24.1
24,Male,PhD,Security Engineer,Chennai,35,2,24.1
25,Male,B.Tech,QA Engineer,Gurugram,40,3,10.9
22,Female,MCA,Backend Developer,Gurugram,36,0,3.8
28,Female,B.Sc IT,Security Engineer,Mumbai,52,6,24.8
26,Male,BCA,Fullstack Developer,Hyderabad,46,4,19.4
24,Male,B.E,Cloud Architect,Kolkata,41,2,23.1
38,Female,MCA,Engineering Manager,Gurugram,35,16,52.9
45,Male,B.E,Backend Developer,Kolkata,41,23,61.5
28,Female,MCA,Fullstack Developer,Hyderabad,37,6,18.8
31,Male,PhD,Engineering Manager,Hyderabad,42,9,59
28,Male,M.Tech,Engineering Manager,Mumbai,38,6,40.1
35,Male,M.Tech,DevOps Engineer,Gurugram,36,13,38.3
48,Male,B.Tech,Engineering Manager,Gurugram,40,26,81.7
24,Male,MCA,Fullstack Developer,Gurugram,47,2,9.3
29,Female,PhD,QA Engineer,Chennai,37,7,28.2
40,Male,M.Tech,QA Engineer,Chennai,43,18,50.5
41,Male,B.E,Frontend Developer,Mumbai,50,19,56.6
49,Male,BCA,Cloud Architect,Gurugram,37,27,74.6
27,Female,B.Tech,Security Engineer,Mumbai,46,5,25.5
49,Female,PhD,Frontend Developer,Gurugram,35,27,76.8
34,Male,MCA,Security Engineer,Mumbai,38,12,43.3
49,Male,B.Tech,Security Engineer,Bengaluru,48,27,72
29,Female,PhD,Fullstack Developer,Bengaluru,47,7,27.1
47,Male,B.Tech,DevOps Engineer,Pune,35,25,62.4
47,Female,M.Tech,Backend Developer,Hyderabad,38,25,65.1
30,Male,B.Sc IT,DevOps Engineer,Pune,36,8,22.4
30,Male,MBA,Frontend Developer,Gurugram,42,8,29
32,Female,MBA,Product Manager,Hyderabad,53,10,31.6
50,Male,B.Tech,Product Manager,Chennai,38,28,83.1
38,Female,M.Tech,Frontend Developer,Pune,38,16,37.6
42,Female,MCA,Fullstack Developer,Mumbai,47,20,50
25,Female,MCA,Security Engineer,Bengaluru,45,3,23.1
28,Male,MCA,Data Scientist,Chennai,52,6,26.8
30,Female,M.Tech,Frontend Developer,Chennai,52,8,27.7
42,Male,PhD,QA Engineer,Chennai,43,20,67.8
23,Female,PhD,QA Engineer,Mumbai,51,1,17
44,Male,M.Tech,Frontend Developer,Mumbai,42,22,72.7
33,Male,B.Tech,Software Engineer,Kolkata,35,11,27
28,Male,B.E,Fullstack Developer,Noida,51,6,16.6
29,Female,MBA,Frontend Developer,Pune,46,7,21.7
30,Female,B.Tech,Frontend Developer,Bengaluru,45,8,24.5
50,Female,B.E,Fullstack Developer,Chennai,47,28,70.7
22,Male,MCA,Software Engineer,Kolkata,47,0,3.9
37,Male,MCA,Backend Developer,Mumbai,49,15,44.8
21,Male,B.Sc IT,Fullstack Developer,Hyderabad,36,0,8.5
35,Male,MCA,Frontend Developer,Kolkata,45,13,34.9
31,Female,PhD,Security Engineer,Pune,36,9,36.8
40,Female,MCA,Cloud Architect,Kolkata,45,18,51.8
36,Female,MBA,Data Scientist,Gurugram,50,14,45.2
48,Female,MBA,Software Engineer,Kolkata,52,26,63.5
32,Male,MBA,Software Engineer,Hyderabad,47,10,32.7
21,Female,B.Sc IT,Engineering Manager,Pune,49,0,17.7
39,Male,PhD,Cloud Architect,Noida,53,17,71.8
45,Female,BCA,Fullstack Developer,Pune,46,23,54.6
37,Female,PhD,Cloud Architect,Hyderabad,46,15,52.7
25,Male,MCA,Software Engineer,Kolkata,42,3,10.4
29,Female,B.Sc IT,Data Scientist,Bengaluru,35,7,28.4
33,Male,MCA,Backend Developer,Mumbai,51,11,36.9
41,Female,B.Sc IT,Security Engineer,Kolkata,48,19,47.1
40,Male,MCA,Engineering Manager,Chennai,45,18,68.9
37,Female,MCA,Frontend Developer,Kolkata,39,15,34
48,Male,B.Sc IT,Fullstack Developer,Mumbai,52,26,67.2
29,Male,MCA,Cloud Architect,Mumbai,51,7,45.2
44,Male,B.E,Security Engineer,Noida,43,22,63.3
32,Male,M.Tech,Product Manager,Kolkata,46,10,29.8
28,Female,B.Sc IT,Backend Developer,Kolkata,50,6,16.2
36,Male,B.E,QA Engineer,Gurugram,41,14,34.8
29,Female,B.Tech,QA Engineer,Noida,35,7,19.5
34,Female,M.Tech,QA Engineer,Chennai,39,12,31.7
25,Female,BCA,Product Manager,Gurugram,48,3,9.3
48,Male,MCA,Engineering Manager,Gurugram,44,26,94.4
21,Male,B.E,DevOps Engineer,Pune,37,0,3.7
26,Male,M.Tech,Fullstack Developer,Kolkata,35,4,18.8
44,Male,MBA,Data Scientist,Noida,35,22,74.7
43,Female,B.E,QA Engineer,Pune,46,21,52.8
39,Female,PhD,Software Engineer,Kolkata,35,17,49.2
31,Female,MCA,Backend Developer,Pune,47,9,22.6
24,Male,B.E,Engineering Manager,Hyderabad,54,2,26.4
35,Male,MBA,Frontend Developer,Chennai,40,13,42.7
29,Male,M.Tech,Product Manager,Hyderabad,39,7,24.6
37,Male,MCA,QA Engineer,Mumbai,36,15,40.1
42,Male,MBA,Frontend Developer,Gurugram,41,20,61.9
36,Male,BCA,Product Manager,Chennai,43,14,33.6
46,Male,MBA,Frontend Developer,Kolkata,40,24,67.5
50,Male,BCA,QA Engineer,Noida,54,28,82.8
41,Male,BCA,Backend Developer,Chennai,40,19,48.3
28,Female,MBA,Data Scientist,Gurugram,46,6,30.4
23,Male,MBA,QA Engineer,Chennai,51,1,8.9
22,Female,B.E,Product Manager,Chennai,45,0,3.4
28,Female,MBA,DevOps Engineer,Chennai,53,6,17.2
23,Male,M.Tech,Engineering Manager,Pune,36,1,25.4
36,Male,BCA,Data Scientist,Noida,41,14,53.9
24,Male,B.E,Engineering Manager,Hyderabad,40,2,28.6
27,Female,MBA,Product Manager,Pune,47,5,16.7
25,Male,M.Tech,Frontend Developer,Hyderabad,49,3,17.4
36,Female,MCA,Product Manager,Bengaluru,48,14,34.1
25,Female,B.E,Software Engineer,Noida,45,3,9.4
47,Female,BCA,DevOps Engineer,Pune,37,25,62.8
27,Male,B.E,Data Scientist,Pune,49,5,22.1
34,Male,B.E,Backend Developer,Gurugram,43,12,34.4
35,Female,MCA,Backend Developer,Pune,37,13,31.3
50,Female,B.Tech,Data Scientist,Gurugram,40,28,81.5
47,Female,PhD,QA Engineer,Bengaluru,40,25,72.4
36,Male,MBA,Security Engineer,Mumbai,39,14,52.5
37,Female,BCA,Data Scientist,Mumbai,45,15,44.8
34,Female,M.Tech,Security Engineer,Gurugram,46,12,40.4
33,Female,PhD,Software Engineer,Noida,47,11,36.9
36,Female,B.E,Cloud Architect,Noida,49,14,47.3
50,Male,B.Sc IT,Cloud Architect,Noida,45,28,76.8
34,Female,B.E,Engineering Manager,Hyderabad,54,12,42.9
35,Male,B.Sc IT,Security Engineer,Kolkata,48,13,38.4
50,Male,B.Sc IT,Backend Developer,Mumbai,41,28,83.7
43,Female,B.Sc IT,Product Manager,Mumbai,40,21,49.2
40,Female,B.E,DevOps Engineer,Gurugram,53,18,40.7
38,Male,B.E,QA Engineer,Hyderabad,43,16,45.5
25,Female,B.E,Fullstack Developer,Kolkata,44,3,11.6
45,Male,PhD,Engineering Manager,Gurugram,46,23,91.8
40,Male,MCA,Data Scientist,Noida,38,18,58.2
28,Female,M.Tech,QA Engineer,Gurugram,53,6,22.2
50,Male,B.E,Software Engineer,Gurugram,50,28,84.9
30,Male,B.Sc IT,Product Manager,Gurugram,40,8,26.2
46,Female,B.Tech,QA Engineer,Gurugram,40,24,59.6
25,Female,B.Sc IT,Cloud Architect,Bengaluru,37,3,30.9
40,Female,B.Sc IT,DevOps Engineer,Hyderabad,53,18,44.5
34,Female,MBA,Frontend Developer,Kolkata,44,12,29.8
21,Male,BCA,Backend Developer,Kolkata,40,0,3.4
24,Male,BCA,Security Engineer,Pune,53,2,18.2
28,Male,B.Sc IT,DevOps Engineer,Chennai,42,6,20.8
26,Male,M.Tech,Product Manager,Bengaluru,43,4,21.8
24,Male,PhD,Security Engineer,Bengaluru,48,2,27.5
27,Male,B.Tech,Data Scientist,Noida,46,5,22.7
31,Male,PhD,Fullstack Developer,Kolkata,35,9,37.9
32,Male,MCA,Data Scientist,Bengaluru,42,10,37.7
31,Female,M.Tech,Software Engineer,Hyderabad,35,9,30.4
30,Female,PhD,Frontend Developer,Mumbai,46,8,33.1
43,Male,B.Sc IT,Frontend Developer,Bengaluru,45,21,64
35,Male,B.Tech,Engineering Manager,Kolkata,47,13,52.8
45,Male,B.Tech,Frontend Developer,Gurugram,42,23,58.5
50,Female,PhD,Cloud Architect,Chennai,38,28,84.8
29,Female,MBA,Backend Developer,Hyderabad,50,7,25.8
32,Male,MBA,QA Engineer,Mumbai,54,10,35.6
36,Male,MBA,Software Engineer,Kolkata,38,14,36.8
27,Male,BCA,Fullstack Developer,Gurugram,53,5,18
47,Male,MCA,QA Engineer,Mumbai,38,25,66.3
33,Male,MBA,Engineering Manager,Kolkata,51,11,51.8
33,Female,B.E,DevOps Engineer,Pune,37,11,31.3
39,Male,MCA,DevOps Engineer,Pune,40,17,45
25,Female,M.Tech,DevOps Engineer,Mumbai,40,3,15.7
36,Female,PhD,Software Engineer,Kolkata,54,14,43.2
33,Female,B.Sc IT,Security Engineer,Mumbai,41,11,38.9
47,Male,MBA,Fullstack Developer,Bengaluru,36,25,81.7
34,Female,B.Tech,Engineering Manager,Pune,47,12,49.1
24,Male,BCA,QA Engineer,Hyderabad,48,2,11.5
39,Male,MBA,Product Manager,Kolkata,44,17,47.9
45,Male,M.Tech,Data Scientist,Mumbai,54,23,70.9
25,Female,BCA,Fullstack Developer,Bengaluru,43,3,14.2
45,Male,B.Tech,QA Engineer,Pune,40,23,52.5
50,Male,B.Sc IT,Engineering Manager,Gurugram,51,28,95.1
43,Female,MCA,Product Manager,Pune,36,21,44.1
